[2026-04-10 08:41:45,739] flops: 10.579868042, params: 26.764399, Total params: : 26.7644
[2026-04-10 09:00:00,716] Epoch: 28, Dataset: val, Dice: 0.8992, IoU: 0.8347
[2026-04-10 09:00:38,879] Epoch: 29, Dataset: test, Dice: 0.9437, IoU: 0.8959
[2026-04-10 09:00:39,551] Epoch: 29, Dataset: val, Dice: 0.9307, IoU: 0.8756
[2026-04-10 09:00:39,551] ### Best Model Saved (Dice improved from 0.9040 to 0.9307) ###
[2026-04-10 09:01:18,469] Epoch: 30, Dataset: test, Dice: 0.9248, IoU: 0.8712
[2026-04-10 09:01:19,149] Epoch: 30, Dataset: val, Dice: 0.8753, IoU: 0.8103
[2026-04-10 09:02:13,743] Epoch: 31, Dataset: test, Dice: 0.8950, IoU: 0.8400
[2026-04-10 09:02:14,687] Epoch: 31, Dataset: val, Dice: 0.8772, IoU: 0.8074
[2026-04-10 09:03:11,654] Epoch: 32, Dataset: test, Dice: 0.9383, IoU: 0.8893
[2026-04-10 09:03:12,599] Epoch: 32, Dataset: val, Dice: 0.9154, IoU: 0.8561
[2026-04-10 09:04:08,632] Epoch: 33, Dataset: test, Dice: 0.9363, IoU: 0.8833
[2026-04-10 09:04:09,601] Epoch: 33, Dataset: val, Dice: 0.9063, IoU: 0.8482
[2026-04-10 09:05:05,458] Epoch: 34, Dataset: test, Dice: 0.9345, IoU: 0.8837
[2026-04-10 09:05:06,390] Epoch: 34, Dataset: val, Dice: 0.9173, IoU: 0.8565
[2026-04-10 09:06:02,122] Epoch: 35, Dataset: test, Dice: 0.9195, IoU: 0.8647
[2026-04-10 09:06:03,054] Epoch: 35, Dataset: val, Dice: 0.8819, IoU: 0.8150
[2026-04-10 09:06:58,840] Epoch: 36, Dataset: test, Dice: 0.9356, IoU: 0.8845
[2026-04-10 09:06:59,786] Epoch: 36, Dataset: val, Dice: 0.9001, IoU: 0.8380
[2026-04-10 09:07:55,980] Epoch: 37, Dataset: test, Dice: 0.9430, IoU: 0.8975
[2026-04-10 09:07:56,879] Epoch: 37, Dataset: val, Dice: 0.9300, IoU: 0.8759
[2026-04-10 09:08:52,926] Epoch: 38, Dataset: test, Dice: 0.9460, IoU: 0.9010
[2026-04-10 09:08:53,841] Epoch: 38, Dataset: val, Dice: 0.9171, IoU: 0.8616
[2026-04-10 09:09:50,476] Epoch: 39, Dataset: test, Dice: 0.9303, IoU: 0.8855
[2026-04-10 09:09:51,389] Epoch: 39, Dataset: val, Dice: 0.9230, IoU: 0.8656
[2026-04-10 09:10:47,525] Epoch: 40, Dataset: test, Dice: 0.9155, IoU: 0.8647
[2026-04-10 09:10:48,484] Epoch: 40, Dataset: val, Dice: 0.8784, IoU: 0.8130
[2026-04-10 09:11:44,840] Epoch: 41, Dataset: test, Dice: 0.9448, IoU: 0.8977
[2026-04-10 09:11:45,716] Epoch: 41, Dataset: val, Dice: 0.8854, IoU: 0.8203
[2026-04-10 09:12:42,092] Epoch: 42, Dataset: test, Dice: 0.9282, IoU: 0.8737
[2026-04-10 09:12:42,977] Epoch: 42, Dataset: val, Dice: 0.9246, IoU: 0.8683
[2026-04-10 09:13:39,576] Epoch: 43, Dataset: test, Dice: 0.9351, IoU: 0.8831
[2026-04-10 09:13:40,540] Epoch: 43, Dataset: val, Dice: 0.8805, IoU: 0.8127
[2026-04-10 09:14:36,830] Epoch: 44, Dataset: test, Dice: 0.9432, IoU: 0.8953
[2026-04-10 09:14:37,815] Epoch: 44, Dataset: val, Dice: 0.9036, IoU: 0.8421
[2026-04-10 09:15:34,022] Epoch: 45, Dataset: test, Dice: 0.9418, IoU: 0.8937
[2026-04-10 09:15:34,991] Epoch: 45, Dataset: val, Dice: 0.9271, IoU: 0.8697
[2026-04-10 09:16:31,134] Epoch: 46, Dataset: test, Dice: 0.9315, IoU: 0.8815
[2026-04-10 09:16:32,149] Epoch: 46, Dataset: val, Dice: 0.8907, IoU: 0.8323
[2026-04-10 09:17:28,570] Epoch: 47, Dataset: test, Dice: 0.9478, IoU: 0.9027
[2026-04-10 09:17:29,505] Epoch: 47, Dataset: val, Dice: 0.9208, IoU: 0.8668
[2026-04-10 09:18:25,560] Epoch: 48, Dataset: test, Dice: 0.9335, IoU: 0.8833
[2026-04-10 09:18:26,519] Epoch: 48, Dataset: val, Dice: 0.9213, IoU: 0.8640
[2026-04-10 09:19:22,837] Epoch: 49, Dataset: test, Dice: 0.9434, IoU: 0.8954
[2026-04-10 09:19:23,771] Epoch: 49, Dataset: val, Dice: 0.9222, IoU: 0.8661
[2026-04-10 09:20:19,926] Epoch: 50, Dataset: test, Dice: 0.9358, IoU: 0.8837
[2026-04-10 09:20:20,924] Epoch: 50, Dataset: val, Dice: 0.9186, IoU: 0.8562
[2026-04-10 09:21:17,509] Epoch: 51, Dataset: test, Dice: 0.9412, IoU: 0.8930
[2026-04-10 09:21:18,416] Epoch: 51, Dataset: val, Dice: 0.9297, IoU: 0.8753
[2026-04-10 09:22:14,335] Epoch: 52, Dataset: test, Dice: 0.9396, IoU: 0.8893
[2026-04-10 09:22:15,359] Epoch: 52, Dataset: val, Dice: 0.9297, IoU: 0.8759
[2026-04-10 09:23:11,851] Epoch: 53, Dataset: test, Dice: 0.9167, IoU: 0.8612
[2026-04-10 09:23:12,784] Epoch: 53, Dataset: val, Dice: 0.8931, IoU: 0.8211
[2026-04-10 09:24:08,407] Epoch: 54, Dataset: test, Dice: 0.8788, IoU: 0.8155
[2026-04-10 09:24:09,396] Epoch: 54, Dataset: val, Dice: 0.8704, IoU: 0.8007
[2026-04-10 09:25:05,542] Epoch: 55, Dataset: test, Dice: 0.9424, IoU: 0.8950
[2026-04-10 09:25:06,489] Epoch: 55, Dataset: val, Dice: 0.9106, IoU: 0.8471
[2026-04-10 09:26:02,694] Epoch: 56, Dataset: test, Dice: 0.9349, IoU: 0.8844
[2026-04-10 09:26:03,651] Epoch: 56, Dataset: val, Dice: 0.8960, IoU: 0.8323
[2026-04-10 09:26:59,614] Epoch: 57, Dataset: test, Dice: 0.9432, IoU: 0.8955
[2026-04-10 09:27:00,591] Epoch: 57, Dataset: val, Dice: 0.9179, IoU: 0.8562
[2026-04-10 09:27:56,822] Epoch: 58, Dataset: test, Dice: 0.9439, IoU: 0.8966
[2026-04-10 09:27:57,782] Epoch: 58, Dataset: val, Dice: 0.9020, IoU: 0.8385
[2026-04-10 09:28:53,898] Epoch: 59, Dataset: test, Dice: 0.9392, IoU: 0.8894
[2026-04-10 09:28:54,834] Epoch: 59, Dataset: val, Dice: 0.9261, IoU: 0.8685
[2026-04-10 09:29:50,942] Epoch: 60, Dataset: test, Dice: 0.9470, IoU: 0.9025
[2026-04-10 09:29:51,894] Epoch: 60, Dataset: val, Dice: 0.9241, IoU: 0.8685
[2026-04-10 09:30:47,803] Epoch: 61, Dataset: test, Dice: 0.9497, IoU: 0.9067
[2026-04-10 09:30:48,752] Epoch: 61, Dataset: val, Dice: 0.9317, IoU: 0.8800
[2026-04-10 09:30:48,752] ### Best Model Saved (Dice improved from 0.9307 to 0.9317) ###
[2026-04-10 09:31:45,428] Epoch: 62, Dataset: test, Dice: 0.9461, IoU: 0.9008
[2026-04-10 09:31:46,409] Epoch: 62, Dataset: val, Dice: 0.9174, IoU: 0.8655
[2026-04-10 09:32:42,749] Epoch: 63, Dataset: test, Dice: 0.9473, IoU: 0.9024
[2026-04-10 09:32:43,638] Epoch: 63, Dataset: val, Dice: 0.9339, IoU: 0.8816
[2026-04-10 09:32:43,638] ### Best Model Saved (Dice improved from 0.9317 to 0.9339) ###
[2026-04-10 09:33:40,129] Epoch: 64, Dataset: test, Dice: 0.9232, IoU: 0.8676
[2026-04-10 09:33:41,013] Epoch: 64, Dataset: val, Dice: 0.9176, IoU: 0.8588
[2026-04-10 09:34:37,249] Epoch: 65, Dataset: test, Dice: 0.9505, IoU: 0.9072
[2026-04-10 09:34:38,197] Epoch: 65, Dataset: val, Dice: 0.9363, IoU: 0.8861
[2026-04-10 09:34:38,197] ### Best Model Saved (Dice improved from 0.9339 to 0.9363) ###
[2026-04-10 09:35:34,693] Epoch: 66, Dataset: test, Dice: 0.9454, IoU: 0.8999
[2026-04-10 09:35:35,602] Epoch: 66, Dataset: val, Dice: 0.9341, IoU: 0.8824
[2026-04-10 09:36:31,421] Epoch: 67, Dataset: test, Dice: 0.9431, IoU: 0.8951
[2026-04-10 09:36:32,365] Epoch: 67, Dataset: val, Dice: 0.9353, IoU: 0.8819
[2026-04-10 09:37:29,497] Epoch: 68, Dataset: test, Dice: 0.9457, IoU: 0.9003
